Date,Open,High,Low,Close,Volume,Adj Close
2016-06-24,33.540001,34.980002,33.420002,34.230002,6483400,29.975045
2016-06-23,34.260002,34.620001,33.940002,34.110003,4100600,29.869962
2016-06-22,33.740002,34.390002,33.730002,34.050002,5539500,29.81742
2016-06-21,34.980002,35.17,34.780001,35.010002,3247800,30.658087
2016-06-20,35.34,35.430003,34.860002,34.870002,4300600,30.53549
2016-06-17,34.910001,35.32,34.770001,35.180002,5145100,30.806956
2016-06-16,34.700002,34.980002,34.630001,34.940001,2998100,30.596788
2016-06-15,34.510002,35.120001,34.510002,34.800001,3372800,30.474191
2016-06-14,34.560002,34.690002,34.310001,34.500001,2887700,30.211482
2016-06-13,34.430003,34.980002,34.430003,34.590001,2670900,30.290294
2016-06-10,34.280001,34.500001,34.150001,34.430003,2403200,30.150185
2016-06-09,34.340001,34.510002,34.070002,34.480001,2211200,30.193968
2016-06-08,34.000001,34.390002,33.760002,34.370002,2635400,30.097642
2016-06-07,33.440002,34.170001,33.440002,34.060002,3180700,29.826177
2016-06-06,33.600002,33.750002,33.060001,33.420002,2746900,29.265732
2016-06-03,33.520001,34.000001,33.360001,33.570002,2986700,29.397086
2016-06-02,33.030001,33.390001,32.840002,33.370001,2135400,29.221946
2016-06-01,32.770001,33.140002,32.710001,33.110002,3140500,28.994266
2016-05-31,33.040001,33.100002,32.620001,32.870001,9765700,28.784098
2016-05-27,32.690002,33.190001,32.690002,33.040001,2303700,28.932967
2016-05-26,32.620001,32.870001,32.460001,32.680002,2253800,28.617718
2016-05-25,32.600001,32.700002,31.980001,32.580001,3249900,28.530147
2016-05-24,32.720001,33.000002,32.480002,32.560001,3863100,28.512633
2016-05-23,32.400001,32.680002,32.120001,32.460001,2739100,28.425064
2016-05-20,32.480002,32.540002,32.090001,32.340002,3033300,28.319981
2016-05-19,32.220002,32.440001,31.990001,32.260001,2836900,28.249925
2016-05-18,33.540001,33.600002,32.190002,32.530002,4452500,28.486364
2016-05-17,34.260002,34.370002,33.410002,33.580002,3466400,29.405843
2016-05-16,34.120001,34.690002,34.050002,34.360002,3585400,30.088885
2016-05-13,34.120001,34.270003,33.890002,34.200002,2862800,29.948774
2016-05-12,34.090002,34.480001,33.720001,34.240002,3334000,29.983802
2016-05-11,34.380002,34.650001,33.310002,34.100002,6871700,29.861205
2016-05-10,36.230002,36.390004,34.080002,34.710002,11385500,30.395379
2016-05-09,35.950002,36.90,35.81,35.990003,14687200,31.516269
2016-05-06,34.120001,34.700002,33.920002,34.550002,4321600,30.255268
2016-05-05,34.790001,34.860002,34.090002,34.220002,5088500,29.966288
2016-05-04,34.630001,35.840003,34.610001,35.370003,6126800,30.469812
2016-05-03,34.300001,34.850002,34.090002,34.840002,3796400,30.013238
2016-05-02,34.100002,34.480001,34.000001,34.350002,3724400,29.591123
2016-04-29,33.710001,33.880002,33.160002,33.830001,10369000,29.143164
2016-04-28,34.010001,34.100002,33.720001,33.910002,3533700,29.212081
2016-04-27,34.540002,34.610001,33.840001,34.230002,3860500,29.487748
2016-04-26,34.140001,34.780001,34.090002,34.500001,3985500,29.720342
2016-04-25,33.740002,34.010001,33.550001,34.010001,3080500,29.298227
2016-04-22,33.150002,34.050002,33.060001,33.760002,4859100,29.082862
2016-04-21,34.240002,34.240002,32.820002,33.040001,6097200,28.462611
2016-04-20,35.32,35.36,34.180001,34.210002,5954000,29.470519
2016-04-19,35.220003,35.800002,35.110001,35.240003,3659500,30.357823
2016-04-18,34.890002,35.140002,34.670002,35.130002,3173000,30.263061
2016-04-15,35.030002,35.160002,34.710002,34.930001,3808500,30.090769
2016-04-14,35.090001,35.19,34.990002,35.050003,3100100,30.194145
2016-04-13,35.120001,35.250001,34.840002,35.100001,2793300,30.237217
2016-04-12,34.790001,35.260003,34.710002,34.980002,3381200,30.133842
2016-04-11,34.790001,35.000002,34.510002,34.680002,2728700,29.875405
2016-04-08,34.180001,34.970001,34.180001,34.650001,4882900,29.849561
2016-04-07,33.650001,34.110003,33.270002,34.040002,4730500,29.324071
2016-04-06,33.110002,33.770002,33.090001,33.670001,4635800,29.00533
2016-04-05,32.800002,33.100002,32.630002,33.080001,2703800,28.49707
