"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
88,89,80,2,4,2,"Independent",2,30,0,1
50,61,30,2,7,3,"Republican",2,30,0,0
36,89,85,2,5,4,"Independent",2,20,1,1
70,90,11,1,6,1,"Democrat",2,51,0,0
99,81,3,3,4,4,"Republican",2,58,1,1
94,91,31,3,6,3,"Independent",2,34,1,0
87,53,2,7,4,4,"Independent",5,24,1,1
86,86,81,2,5,3,"Democrat",3,60,1,1
47,57,53,3,6,1,"Democrat",1,27,1,0
69,72,27,2,3,4,"Democrat",2,20,0,1
7,7,4,3,1,2,"Republican",4,42,0,0
50,4,4,1,1,2,"Democrat",3,33,0,0
100,91,19,7,1,3,"Republican",3,28,1,0
91,69,47,7,2,2,"Independent",3,29,0,1
73,64,64,2,6,3,"Democrat",2,20,0,0
52,53,55,5,6,3,"Independent",4,35,1,1
99,35,31,7,5,3,"Republican",4,51,1,1
97,96,54,2,997,1,"Democrat",2,45,0,0
84,94,54,1,5,3,"Democrat",2,56,0,0
65,27,1,7,5,2,NA,3,53,1,0
99,100,100,6,3,7,"Independent",3,27,0,0
75,88,77,2,7,4,"Democrat",2,31,1,0
85,85,90,2,6,2,"Democrat",2,25,1,0
84,89,82,2,6,4,"Democrat",1,46,1,0
73,57,26,6,4,3,"Independent",2,64,1,0
100,47,3,7,5,3,"Republican",5,29,1,1
61,51,50,7,3,3,"Independent",4,54,1,1
50,50,50,7,997,7,"Independent",NA,36,0,1
94,98,50,1,5,2,NA,3,51,1,1
53,52,50,4,1,4,"Democrat",NA,38,1,0
88,85,10,6,997,2,"Independent",2,65,1,1
65,60,45,7,1,7,"Independent",5,23,1,0
90,98,80,2,3,3,"Democrat",2,40,1,1
77,63,70,4,4,2,"Independent",2,92,1,1
70,71,50,1,7,4,"Democrat",1,63,1,1
58,91,91,2,7,4,"Democrat",1,22,0,0
100,71,51,7,6,3,"Republican",4,47,1,0
80,84,70,2,5,4,"Independent",1,38,1,0
76,89,1,1,4,1,"Democrat",2,26,0,1
44,54,100,2,7,2,"Republican",1,22,1,0
89,86,72,5,5,3,"Democrat",3,24,1,1
63,16,1,7,3,3,"Republican",4,68,1,1
57,80,87,2,5,7,"Independent",2,25,1,0
86,53,44,5,7,1,"Independent",3,24,0,1
100,100,100,4,5,2,"Independent",5,20,0,1
52,50,53,1,5,3,NA,3,34,1,0
99,62,52,5,4,4,"Independent",4,33,1,1
50,56,17,6,997,4,"Independent",3,40,1,1
71,40,44,6,1,1,"Republican",5,32,1,0
100,27,25,7,5,2,"Republican",4,56,1,1
50,50,45,2,6,3,"Democrat",2,63,1,0
97,28,3,6,5,2,"Democrat",NA,61,1,1
100,98,13,3,4,4,NA,3,39,1,1
42,35,33,2,4,4,"Democrat",2,34,1,0
91,13,53,6,5,3,NA,3,35,1,1
96,99,90,6,3,4,"Republican",3,35,1,0
4,94,76,2,997,4,"Democrat",NA,38,0,0
85,73,32,6,7,3,"Republican",1,53,0,1
51,86,81,2,7,2,"Democrat",1,81,0,0
89,9,70,7,4,3,"Independent",2,27,1,1
63,55,40,6,997,7,"Democrat",3,51,0,1
78,97,89,3,5,3,"Independent",2,24,1,0
72,72,66,7,4,4,"Republican",4,55,1,1
92,100,100,2,7,5,"Democrat",2,30,1,1
100,94,100,1,7,1,"Republican",1,26,1,1
85,84,80,1,5,2,"Independent",3,43,0,0
50,65,65,2,6,4,"Democrat",2,26,1,1
71,68,59,6,2,3,"Republican",3,34,1,1
49,55,50,6,4,4,"Independent",NA,27,1,0
71,54,55,6,6,2,"Republican",3,41,1,1
42,NA,1,7,5,4,"Republican",3,54,0,1
69,74,59,7,6,6,"Republican",4,61,0,0
70,90,90,1,6,3,"Democrat",1,27,1,1
99,99,99,2,997,3,"Democrat",2,19,1,1
49,50,51,5,7,5,"Independent",NA,27,1,1
81,86,33,5,6,3,NA,4,31,1,1
70,81,76,2,7,5,"Independent",3,53,1,0
50,100,0,1,997,4,"Republican",2,55,0,1
71,10,1,6,7,1,"Democrat",2,40,1,1
49,52,56,2,4,4,"Independent",3,19,1,0
75,75,55,1,6,2,"Democrat",3,50,1,0
99,100,98,6,3,3,"Republican",4,31,1,1
81,71,63,5,1,3,"Independent",3,43,1,1
63,94,54,2,7,1,"Democrat",1,49,0,1
64,97,100,1,6,3,"Democrat",3,41,0,1
90,69,1,7,5,4,"Republican",4,61,1,1
94,88,66,3,6,1,"Democrat",2,46,0,1
50,50,51,2,2,4,"Independent",3,61,1,0
70,100,51,4,7,3,"Republican",2,59,0,1
0,0,0,7,3,2,"Independent",3,65,1,1
76,81,69,4,6,4,"Democrat",2,36,1,1
51,50,53,2,5,5,"Democrat",3,21,1,1
80,50,10,7,1,1,"Republican",4,62,1,0
53,52,54,3,5,4,"Independent",2,26,1,0
57,73,60,3,3,4,"Independent",NA,43,1,0
78,77,65,7,5,2,"Independent",3,37,0,0
90,51,41,7,4,2,NA,3,59,1,1
99,2,3,7,7,3,"Independent",3,46,1,0
100,5,0,3,4,5,"Independent",1,35,1,0
40,60,70,1,5,3,"Democrat",1,64,1,0
100,100,100,3,3,4,"Independent",3,24,0,1
76,86,95,5,6,3,"Democrat",3,63,1,1
57,61,19,1,7,1,"Democrat",4,28,1,0
17,50,20,4,5,3,"Independent",4,31,1,0
77,91,63,1,4,4,"Democrat",4,39,0,1
82,68,81,5,4,2,"Republican",NA,58,1,1
50,51,50,2,6,5,"Democrat",1,22,1,0
70,70,70,4,6,4,"Independent",3,39,1,0
12,67,37,4,6,1,"Democrat",3,38,0,1
