"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
50,100,30,2,4,3,"Democrat",3,62,0,0
50,50,5,7,5,1,"Republican",4,65,1,0
75,71,0,6,2,1,"Independent",3,60,1,1
100,100,100,3,5,2,"Democrat",4,55,0,0
80,75,71,4,4,4,"Democrat",3,73,1,1
47,46,3,6,2,3,"Independent",4,55,1,1
70,47,50,7,4,2,"Democrat",3,76,1,1
53,55,59,2,4,4,"Democrat",4,30,0,0
99,87,82,7,4,4,"Republican",4,36,0,0
52,76,61,2,4,2,"Democrat",3,69,1,1
90,91,50,4,997,4,"Independent",4,51,1,1
85,41,3,7,4,2,"Independent",4,62,1,0
85,93,46,7,2,3,"Independent",5,55,1,1
87,86,84,2,4,3,"Democrat",2,65,1,1
50,50,49,7,4,3,"Republican",4,51,1,0
70,71,69,2,7,6,"Democrat",1,66,1,1
64,50,31,7,3,5,"Independent",5,52,1,1
77,67,71,2,5,4,"Democrat",3,73,0,1
54,50,51,4,4,4,"Republican",3,47,0,1
69,48,3,7,2,4,"Republican",4,73,1,1
57,39,48,7,4,1,"Republican",4,59,1,1
100,100,5,4,1,4,"Democrat",NA,55,1,1
99,98,80,2,7,1,"Democrat",1,71,1,1
49,81,0,7,997,7,NA,5,61,0,1
98,79,91,2,7,7,"Independent",2,53,0,1
50,50,30,7,1,3,"Independent",4,40,1,0
75,77,72,5,1,4,"Independent",3,33,0,1
50,50,50,7,4,3,"Independent",3,62,1,0
90,60,0,7,1,4,"Republican",5,90,1,1
87,66,34,2,1,4,"Democrat",2,44,1,1
100,96,70,7,7,4,"Republican",4,51,1,0
100,100,49,4,4,2,"Democrat",3,61,1,1
91,84,52,7,2,3,"Independent",NA,69,1,1
71,57,8,1,6,4,"Democrat",3,65,0,0
75,59,41,7,1,5,NA,4,76,1,0
33,99,50,1,7,3,"Democrat",5,32,0,1
84,56,22,2,997,2,"Democrat",3,60,1,1
90,99,50,1,4,4,"Democrat",5,56,0,1
73,29,10,7,2,4,"Democrat",3,73,1,1
99,58,0,7,7,4,"Independent",3,44,1,1
93,39,27,2,3,4,"Democrat",2,44,1,1
72,51,1,7,1,2,"Independent",4,42,1,0
69,69,0,2,6,5,"Independent",3,43,1,0
84,94,86,4,4,2,"Democrat",3,70,1,1
77,79,20,6,4,3,"Republican",3,67,1,0
